X	Y
-0.129079	0.2934
-0.0984897	0.0426884
-0.572518	0.937401
-0.364727	0.182623
-0.533802	0.41498
-0.105997	0.131649
-0.192675	0.0390503
-1.4953	0.87979
0.215502	-0.397907
-0.352067	0.0186544
-0.523807	0.350642
-0.467305	0.798879
-1.07891	1.35816
-0.27858	0.857681
-0.167774	0.00473877
-0.824025	0.283294
-0.850019	1.02903
-0.418773	0.817405
-0.195789	0.0454129
-0.453918	0.0345327
-1.18479	1.26433
0.131237	-0.180404
-0.138968	0.555142
-0.135219	0.782129
-0.828637	0.453453
-0.190745	0.164346
-0.974844	1.2238
-0.339574	0.209635
-0.699618	1.27993
-0.556539	1.13774
-0.806891	0.240032
-0.52997	0.161539
-0.490069	0.749132
-0.790711	0.419272
-1.24553	1.61492
-1.3668	1.79053
-0.391199	1.08317
-0.843137	0.245927
-1.27034	0.562737
-1.64891	1.5087
-0.398465	0.981997
-1.02732	0.655953
-0.159884	0.937878
-0.845245	0.384147
-0.202241	0.0947538
0.384959	0.455639
-0.789053	0.151466
-0.932574	0.607096
-0.356796	0.739976
-1.18963	0.673323
-1.18725	1.29662
-0.603223	0.0758534
-0.493889	0.838779
0.10229	0.622137
-0.852113	1.32709
-0.424854	0.452325
-0.808521	1.16357
-1.40188	1.35369
-0.587005	0.952304
-0.436779	0.881667
-0.427771	0.111562
-1.07933	1.19901
-0.692506	0.301545
-0.00177499	-0.0756926
-1.15398	1.28747
-0.248184	0.511397
-1.26074	0.745247
-1.12125	1.46423
-1.38671	0.761775
-0.621545	0.408251
-1.11084	1.39877
-0.612819	0.622601
-1.18085	1.24919
-0.753349	0.532376
-0.890539	0.54096
-0.58535	0.0551735
-0.874473	1.24441
-0.688341	1.15684
-0.907727	0.299179
-0.618787	0.138291
-0.549038	0.949767
-0.940425	1.3592
-0.575893	0.977569
-0.652809	1.04768
-1.75495	0.57351
1.04999	-1.11541
-0.277185	0.818455
-0.370454	0.890248
-0.896127	1.11964
-0.584685	1.05365
-1.24414	1.41049
0.13302	-0.319297
-2.09896	1.18569
-0.238172	0.151997
-0.997507	1.40773
0.270691	-0.211771
-0.558355	1.13276
-1.10158	1.67521
0.566203	-0.639656
-1.14346	1.63746
-0.481926	0.271256
-0.911381	1.18578
-0.710072	0.977897
-0.508846	0.727278
-0.444679	0.407691
-0.361377	0.250364
-0.958802	1.23758
0.330916	-0.242807
-0.266399	0.657663
-0.139363	-0.0553264
-0.0752602	-0.00483422
0.0634755	-0.363196
-0.218301	0.0471608
-0.898646	1.1662
-0.785905	1.20729
-1.15071	0.505733
-0.0722899	-0.091156
-0.978213	1.22157
-1.01965	0.570725
-0.357175	1.00808
-0.235493	-0.002669
-0.399093	0.0924517
-0.733092	1.03337
-0.472445	0.0926434
-1.04526	0.335314
-0.773158	1.12631
-0.174257	0.697734
-1.26465	1.47183
-0.82829	0.461572
-1.12999	0.601518
-1.45315	0.770129
-1.33159	0.730482
-0.174679	-0.0509945
-0.635246	0.170605
-0.440675	0.0587685
-0.895531	1.28572
-1.23433	0.499407
-0.41723	0.00308714
-0.157103	-0.16723
-0.269649	0.237167
-0.750766	1.42676
-0.573517	1.1256
-0.546125	0.158228
-0.220679	0.726903
0.0158631	-0.29017
-1.21284	1.29623
-0.710367	0.0270773
-0.0431634	-0.160355
-0.752672	0.96685
-1.45803	0.750153
-0.201013	0.032007
-0.916224	1.37167
0.0654935	-0.181529
-0.52916	0.603363
0.437293	-0.347462
-0.561968	0.889809
-0.0366703	-0.337288
0.154183	0.53291
-1.62692	0.712592
-0.648833	1.20671
-0.654193	0.918882
-1.55059	0.734428
-0.431009	-0.0483519
0.384805	-0.203338
-0.908832	1.22574
-0.19312	0.539313
-1.24483	0.607276
0.403655	-0.286436
-0.212992	0.87478
-0.818719	0.354734
-0.175851	-0.0142425
-0.171686	-0.284884
-0.832877	1.20075
-0.919625	1.0331
-1.34878	1.62913
-1.09055	1.26224
-0.903854	1.23069
-0.82335	1.16947
-0.0619818	-0.0327079
-1.53236	1.59208
-1.14693	1.24096
-0.813855	0.724065
-1.19253	1.67202
-0.452834	0.11505
-0.689238	0.931179
-1.09315	1.26025
-0.444181	0.863943
-0.803189	0.308827
-1.10194	1.52549
-0.404938	0.269606
-0.39936	0.220901
-0.732016	1.10264
-1.42129	1.31864
-1.21421	1.45473
-1.39389	1.62203
-0.301399	-0.126789
-0.401023	0.31698
-1.77253	1.4055
-0.588959	1.12612
-1.25021	0.895503
-0.638849	-0.00476078
-0.93108	0.390292
-0.925297	1.02409
-0.210127	0.0681905
-1.00899	0.701171
-0.210622	0.629121
-0.788523	1.01649
-0.462093	-0.216272
-0.667023	0.89896
-1.1569	1.39046
-0.502741	1.17457
-0.769134	0.378224
-0.703777	0.0627735
-1.25625	0.632191
-0.598265	0.405308
0.183015	-0.234306
-0.470865	0.991045
-0.144358	-0.134741
0.00360866	0.729322
0.300433	-0.220789
-0.403717	0.903452
-0.807474	0.59311
-1.11685	1.43312
-1.01726	0.527247
-0.756695	0.593287
-0.918576	1.51139
-0.340575	0.130835
-0.306978	0.121688
-0.396875	0.263022
-0.766865	0.425512
-0.619523	1.06622
-0.390963	0.153535
-0.666749	0.445365
0.440859	-0.479288
-0.903611	0.403433
-0.983893	0.0586249
0.0910955	-0.256929
-0.351214	0.336258
-1.31615	1.28353
-0.83173	1.23084
-1.14826	0.582583
-0.46766	0.950313
-0.525396	1.00354
-0.374934	0.277553
-0.85373	1.22066
-0.74255	1.25802
-0.062868	-0.0460086
-0.0613024	-0.411649
-0.347349	0.197034
-1.06848	1.33294
-0.363906	1.03796
0.282638	-0.64106
-1.53366	1.3417
-0.828178	0.300161
-0.809776	1.50246
-0.460904	0.971896
-0.932435	1.47366
-0.0223136	0.677538
-1.07182	1.27477
0.49289	-0.303527
-0.590593	0.0142267
-1.28646	0.746693
-0.463393	1.05645
-1.70442	1.87343
-0.0973014	0.565216
-1.39887	1.5077
-0.456955	0.820578
-0.202473	0.645643
-0.206302	0.133861
-0.665844	1.01497
-1.21986	1.5769
-1.58196	1.79638
-0.969916	0.489564
-0.493156	1.04016
-0.590866	1.05243
-0.6219	0.482947
-1.14181	1.50375
-0.826186	0.176413
-0.441902	0.960172
-0.826782	0.176492
-0.249645	-0.206737
-0.441161	0.986178
-0.499373	0.186663
-0.802024	1.13164
-1.19132	1.57624
0.161206	-0.14564
-1.38232	0.827683
-1.07587	0.759791
0.0485397	-0.488013
-0.451497	-0.158326
0.058351	-0.436069
-0.970672	1.38385
-0.718231	0.223117
-0.747242	0.957189
-0.794593	0.356188
-1.00589	0.53643
-1.10356	1.52308
-1.30273	1.65976
-1.25049	1.69267
-0.0762019	0.0106253
-0.575935	0.921846
-0.566779	1.08245
-1.00001	0.589182
-0.416025	0.265368
0.820997	-0.546193
-1.4833	0.813971
-0.883438	1.49649
-1.19767	0.70565
-0.536666	-0.0783782
-0.99712	0.563908
-1.47526	0.544553
-1.13288	0.517714
-0.202974	-0.0264721
-0.317433	-0.0341409
-0.819896	1.02935
-0.997713	0.78189
-0.455223	0.335972
-0.748929	1.06697
-0.234598	0.240391
-0.483838	-0.0589699
-0.498955	0.0757806
-0.362867	-0.0452928
-1.04123	1.2278
-0.449201	0.177749
-0.442173	0.850726
-0.447958	0.256621
-1.18722	1.45582
-0.689697	0.989558
-0.50152	0.290343
-0.919301	0.470581
-0.771424	1.00273
-0.808781	0.313287
-0.984621	1.29698
-0.310289	0.789615
-0.261501	0.0151728
-0.301796	-0.172671
0.0305297	-0.216464
-0.480256	0.732627
-0.240569	-0.180987
-0.69745	1.40947
-0.944231	0.230361
-0.207604	-0.133496
-1.1724	1.12442
-0.465806	0.846008
-0.382348	0.35749
-0.578101	0.909126
-0.849447	0.412336
-0.355065	0.804393
-0.969345	1.44367
-0.985103	1.40456
0.174536	-0.488986
-0.384328	0.869044
-1.65574	1.13598
-1.27578	0.842955
-0.798509	0.245874
-0.852158	1.09888
-0.694376	0.329869
-0.722963	1.25816
-0.755292	0.343105
-0.957475	0.615547
-0.55293	-0.00303911
-0.194434	-0.0700736
-0.312476	0.0985264
-0.225743	-0.0595715
-1.16024	0.625639
-0.052665	0.522784
-1.4036	1.52068
0.268697	-0.0744652
-1.23561	0.708172
-0.57622	0.831025
-0.439751	0.26615
-0.432897	1.10265
-0.783794	0.546018
-0.747598	0.886034
-0.259272	0.162875
-1.22311	1.30385
-1.01938	1.32543
-0.410815	0.87363
-0.95571	1.13056
-0.305964	0.575879
-0.377444	0.103067
-0.512612	-0.0325523
-1.24022	1.37376
0.204274	-0.140091
-0.416183	0.826849
-0.0408964	0.735985
-0.957107	1.16399
-0.955633	0.80305
0.328199	-0.0784491
-1.03485	1.34904
-0.650275	-0.00361511
-0.639234	0.998312
-1.46728	0.781087
-0.088569	-0.295429
-0.0100038	0.164215
-0.0419245	-0.0793923
-0.370505	-0.265959
-0.457006	0.147553
-0.532999	0.978497
-0.26913	0.898082
-0.749632	0.484626
-1.45787	0.72715
-0.0805085	-0.190751
-0.571649	-0.142134
-0.353902	0.303993
-0.265129	0.80835
-0.0389196	0.0413998
-1.00429	0.391335
-0.0139924	-0.281939
-0.959373	1.12411
-1.39522	1.71977
0.53895	-0.450424
-0.566131	0.453115
-0.325376	-0.0889585
-1.10989	0.754546
-0.834903	0.450542
-0.176527	0.0885816
-0.43844	0.926334
-0.867632	0.322111
-1.1087	1.49934
-0.347489	-0.00862568
-0.105958	0.0619119
-0.547821	1.09494
-0.928832	0.365963
-0.707665	0.213728
0.776271	-0.317722
-0.741199	0.955437
-0.939312	0.458304
-0.802253	1.20302
0.448259	-0.280295
-0.73717	1.0978
-0.315996	0.63394
0.31749	-0.271577
-0.46963	-0.0827917
-0.671526	1.00669
-1.10178	0.539084
-0.191417	-0.175882
-0.478577	1.14468
-0.407979	-0.0243556
-0.648195	0.858454
-0.376746	0.69978
-0.769952	0.123529
-0.669825	0.505526
-0.766799	1.07865
-1.35013	0.878703
-0.439936	0.380287
-0.992204	0.335339
-0.626571	0.311738
-0.241389	0.158278
-1.19673	1.45065
-1.00382	0.645843
0.174394	0.55227
0.218392	-0.244109
-0.600854	0.126992
-0.209694	0.661947
-0.821546	1.15007
